,kegg_hit,viral_hit,viral_identity,viral_eVal,pfam_hits,cazy_ids,cazy_hits,vogdb_hits
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_1,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_2,,YP_009165988.1 hypothetical protein APL35_gp237 [Apis mellifera filamentous virus],0.162,6.28E-15,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_3,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_4,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_5,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_6,,,,,zinc-RING finger domain [PF14634.9],,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_7,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_8,thymidylate synthase [EC:2.1.1.45],YP_009118461.1 thymidylate synthase [Equid gammaherpesvirus 5],0.685,2.13E-122,Thymidylate synthase [PF00303.22],,,sp|P00471|TYSY_BPT4 Thymidylate synthase; Xr
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_9,,NP_046191.1 inhibitor of apoptosis protein 3 [Orgyia pseudotsugata multiple nucleopolyhedrovirus],0.396,1.08E-26,"Inhibitor of Apoptosis domain [PF00653.24]; Zinc finger, C3HC4 type (RING finger) [PF13920.9]",,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_10,,YP_009165951.1 hypothetical protein APL35_gp200 [Apis mellifera filamentous virus],0.3,4.04E-26,,,,REFSEQ hypothetical protein; Xu
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_11,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_12,ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1],YP_009505866.1 RR2B [Spodoptera littoralis nucleopolyhedrovirus],0.636,2.67E-117,"Ribonucleotide reductase, small chain [PF00268.24]",,,sp|P69924|RIR2_ECOLI Ribonucleoside-diphosphate reductase 1 subunit beta; Xh
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_13,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_14,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_15,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_16,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_17,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_18,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_19,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_20,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_21,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_22,,,,,SprT-like family [PF10263.12],,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_23,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_24,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_25,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_26,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_27,,,,,zinc-RING finger domain [PF14634.9],,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_28,,,,,,,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_29,,,,,Matrixin [PF00413.27],,,
vRhyme_1__NODE_2_length_77565_cov_239.767590__full-cat_2_30,,,,,,,,
