Sample,Reads,Reads remaining,% of remaining reads,Reads back to assembly,% of assembled,Reads mapped to host,% of mapped to host,Reads viral,% of viral reads,N50,N50/dehosted,Longest contig,Longest contig/dehosted,Number of contigs,Number of contigs/dehosted,Total length,Total length/dehosted,Collection_date,Location,Note
Lisnice11," 41,440,100 "," 31,076,599 ", 74.99 ," 29,795,834 ",95.88," 18,007,434 ",57.95," 7,865,828 ", 25.31 ," 2,126 "," 1,972 "," 44,207 "," 44,207 "," 2,265 "," 2,044 "," 4,524,774 "," 4,020,091 ",9/10/2019,Lisnice,
Lisnice24," 30,596,366 "," 19,091,873 ", 62.40 ," 18,017,103 ",94.37," 12,729,132 ",66.67," 4,845,800 ", 25.38 ," 2,214 "," 2,011 "," 28,235 "," 28,235 ", 936 , 827 ," 1,945,911 "," 1,632,430 ",9/10/2019,Lisnice,
Lisnice333," 22,914,070 "," 17,977,650 ", 78.46 ," 17,827,201 ",99.16," 3,420,953 ",19.03," 15,975,472 ", 88.86 ," 1,675 "," 1,047 "," 8,256 "," 8,255 ", 194 , 168 ," 322,670 "," 268,106 ",9/10/2019,Lisnice,
Brdy1," 55,271,986 "," 40,803,907 ", 73.82 ," 37,884,978 ",92.85," 16,630,867 ",40.76," 14,553,064 ", 35.67 ," 2,021 "," 2,125 "," 103,615 "," 43,060 "," 1,772 "," 1,518 "," 3,689,061 "," 3,236,784 ",9/10/2019,Brdy,
Brdy2," 32,128,740 "," 23,117,498 ", 71.95 ," 21,396,768 ",92.56," 10,405,874 ",45.01," 8,114,855 ", 35.10 ," 2,429 "," 2,279 "," 49,872 "," 44,479 "," 2,065 "," 1,928 "," 4,745,752 "," 4,295,974 ",9/10/2019,Brdy,
Brdy3," 30,099,480 "," 14,859,869 ", 49.37 ," 13,346,180 ",89.81," 4,246,450 ",28.58," 8,069,356 ", 54.30 ," 2,839 "," 2,483 "," 54,474 "," 32,004 ", 660 , 592 ," 1,680,545 "," 1,383,776 ",9/10/2019,Brdy,
Libechov11," 39,834,524 "," 27,607,013 ", 69.30 ," 25,629,010 ",92.84," 10,280,608 ",37.24," 7,865,828 ", 28.49 ," 2,218 "," 2,186 "," 64,021 "," 63,918 "," 2,265 "," 2,563 "," 6,027,183 "," 5,403,707 ",9/10/2019,Libechov,
Libechov14," 18,261,622 "," 12,922,552 ", 70.76 ," 12,524,419 ",96.92," 11,703,942 ",90.57," 856,778 ", 6.63 ," 2,908 "," 2,845 "," 31,936 "," 31,936 ", 386 , 348 ," 956,461 "," 840,855 ",9/10/2019,Libechov,
Libechov6," 18,149,762 "," 13,488,775 ", 74.32 ," 12,751,671 ",94.54," 6,046,859 ",44.83," 3,879,901 ", 28.76 ," 2,126 "," 2,115 "," 59,551 "," 47,373 "," 2,342 "," 2,156 "," 4,972,341 "," 4,578,425 ",9/10/2019,Libechov,
Prasily1," 13,634,908 "," 11,199,897 ", 82.14 ," 11,153,593 ",99.59," 740,197 ",6.61," 11,087,898 ", 99.00 ," 1,325 "," 1,406 "," 5,956 "," 5,956 ", 40 , 17 ," 58,806 "," 27,548 ",8/17/2019,Prasily,
Prasily2," 15,098,038 "," 12,257,953 ", 81.19 ," 12,210,490 ",99.61," 1,028,260 ",8.39," 11,719,329 ", 95.61 ," 3,632 "," 3,720 "," 30,652 "," 30,652 ", 108 , 101 ," 295,970 "," 268,788 ",8/17/2019,Prasily,
Prasily3," 45,293,424 "," 35,351,758 ", 78.05 ," 34,815,574 ",98.48," 17,582,403 ",49.74," 15,424,143 ", 43.63 ," 1,984 "," 1,967 "," 42,461 "," 42,461 "," 2,703 "," 2,425 "," 5,521,590 "," 4,897,927 ",8/17/2019,Prasily,
VURV1," 26,401,994 "," 20,311,029 ", 76.93 ," 19,941,598 ",98.18," 6,575,657 ",32.37," 12,207,366 ", 60.10 ," 1,965 "," 1,942 "," 47,953 "," 47,953 "," 1,060 ", 953 ," 2,122,199 "," 1,920,403 ",9/10/2019,VURV,
VURV5," 33,526,926 "," 25,364,850 ", 75.66 ," 24,753,883 ",97.59," 8,449,877 ",33.31," 17,436,232 ", 68.74 ," 2,085 "," 1,879 "," 18,154 "," 15,974 ", 929 , 866 ," 1,897,001 "," 1,681,361 ",9/10/2019,VURV,
VURV4," 44,055,956 "," 37,424,653 ", 84.95 ," 37,262,537 ",99.57," 4,799,219 ",12.82," 35,318,582 ", 94.37 ," 2,349 "," 2,279 "," 72,955 "," 72,955 ", 353 , 324 ," 801,423 "," 738,295 ",9/10/2019,VURV,
VURV7," 27,161,514 "," 23,001,338 ", 84.68 ," 22,934,497 ",99.71," 3,554,795 ",15.45," 20,148,490 ", 87.60 ," 1,703 "," 1,669 "," 7,761 "," 7,742 ", 133 , 123 ," 240,918 "," 216,160 ",9/10/2019,VURV,
VURV_H," 18,125,694 "," 14,267,600 ", 78.71 ," 13,855,814 ",97.11," 4,171,442 ",29.24," 9,520,932 ", 66.73 ," 1,707 "," 1,652 "," 22,873 "," 27,430 "," 1,046 ", 947 ," 1,888,022 "," 1,704,807 ",9/10/2019,VURV,cage experiment
VURV_D," 11,303,362 "," 9,841,001 ", 87.06 ," 9,829,609 ",99.88," 1,111,614 ",11.30," 9,768,582 ", 99.26 ," 4,987 "," 4,846 "," 5,359 "," 5,358 ", 17 , 12 ," 40,266 "," 32,992 ",9/10/2019,VURV,cage experiment
,,,,,,,,,,,,,,,,,,,,
