,kegg_hit,viral_hit,viral_identity,peptidase_hit,peptidase_identity,pfam_hits,cazy_hits,vogdb_hits
AmNV_3,,YP_002321340.1 GrBNV_gp81-like protein [Oryctes rhinoceros nudivirus],0.315,,,,,REFSEQ GrBNV gp81-like protein; Xu
AmNV_5,,,,,,Ferric reductase like transmembrane component [PF01794.22],,
AmNV_6,,YP_009551755.1 vlf-1 [Esparto virus],0.419,,,,,REFSEQ vlf-1; Xu
AmNV_7,,YP_009551756.1 putative gp028-like protein [Esparto virus],0.409,,,,,REFSEQ ACH96158.1 unknown protein; Xu
AmNV_8,,YP_002321338.1 GrBNV_gp78-like protein [Oryctes rhinoceros nudivirus],0.329,,,,,REFSEQ ACH96157.1 GrBNV gp78-like protein; Xu
AmNV_10,,YP_009553389.1 OrNV p47-like [Tomelloso virus],0.392,,,,,REFSEQ P47; Xu
AmNV_11,,YP_002332836.1 BRO-2 [Spodoptera litura nucleopolyhedrovirus II],0.186,,,"BRO family, N-terminal domain [PF02498.20]",,REFSEQ hypothetical protein; Xu
AmNV_14,,YP_009551761.1 putative gp72-like protein [Esparto virus],0.288,,,,,REFSEQ GrBNV_gp72-like protein; Xu
AmNV_15,,,,,,,,REFSEQ guanylate kinase-like protein; Xu
AmNV_16,,YP_009551760.1 putative gp75-like protein [Esparto virus],0.486,,,,,REFSEQ GrBNV_gp75-like protein; Xu
AmNV_17,,YP_002321336.1 GrBNV_gp76-like protein [Oryctes rhinoceros nudivirus],0.45,,,,,REFSEQ GrBNV_gp76-like protein; Xu
AmNV_18,,YP_009345959.1 ACH96148.1 GrBNV gp67-like protein [Kallithea virus],0.508,,,,,
AmNV_19,,YP_009553392.1 pif-2 [Tomelloso virus],0.651,,,Per os infectivity factor 2 [PF04631.15],,sp|O10281|Y022_NPVOP Uncharacterized 43.4 kDa protein; Xu
AmNV_20,,YP_009553393.1 polh/gran [Tomelloso virus],0.438,,,,,REFSEQ hypothetical protein; Xu
AmNV_21,,YP_002321326.1 vp39 [Oryctes rhinoceros nudivirus],0.537,,,,,REFSEQ vp39; Xu
AmNV_22,,YP_002321413.1 rr2 [Oryctes rhinoceros nudivirus],0.524,,,"Ribonucleotide reductase, small chain [PF00268.24]",,sp|P69924|RIR2_ECOLI Ribonucleoside-diphosphate reductase 1 subunit beta; Xh
AmNV_24,,YP_002321397.1 GrBNV_gp61-like protein [Oryctes rhinoceros nudivirus],0.392,,,,,REFSEQ GrBNV_gp61-like protein; Xu
AmNV_26,,YP_002321369.1 HZV_115-like protein [Oryctes rhinoceros nudivirus],0.268,,,,,
AmNV_27,,YP_009551785.1 DNA ligase [Esparto virus],0.266,,,ATP dependent DNA ligase domain [PF01068.24]; RNA ligase [PF09414.13],,sp|P00970|DNLI_BPT4 DNA ligase; XhXr
AmNV_29,,YP_009553458.1 GrBNV gp37-like protein [Tomelloso virus],0.223,,,,,REFSEQ GrBNV_gp37-like protein; Xu
AmNV_30,,YP_009553145.1 GrBNV_gp36-like protein [Drosophila innubila nudivirus],0.382,,,,,REFSEQ GrBNV_gp36-like protein; Xu
AmNV_31,,YP_009551782.1 putative gp35-like protein [Esparto virus],0.365,,,,,REFSEQ GrBNV_gp35-like protein; Xu
AmNV_33,,YP_009553147.1 guanosine monophosphate kinase [Drosophila innubila nudivirus],0.45,,,,,sp|E1XT70|HMUD1_BPSAV 5-hmdU DNA kinase 1; Xp
AmNV_34,,YP_009551780.1 putative gp33-like protein [Esparto virus],0.344,,,,,REFSEQ GrBNV_gp33-like protein; Xu
AmNV_35,,YP_009553464.1 OrNV p74-like protein [Tomelloso virus],0.506,,,Baculoviridae P74 N-terminal [PF08404.13]; Baculoviridae p74 conserved region [PF04583.15],,sp|O10365|VP74_NPVOP Protein p74; Xs
AmNV_36,,,,MER0772927 - family I32 unassigned peptidase inhibitors (Magnaporthiopsis poae) [I32.UPW]#I32#{inhibitor unit: 40-99}~source A0A0C4EA98~,0.592,Inhibitor of Apoptosis domain [PF00653.24],,
AmNV_37,,YP_002321436.1 GrBNV_gp44-like protein [Oryctes rhinoceros nudivirus],0.409,,,,,REFSEQ hypothetical protein; Xu
AmNV_38,,YP_002321435.1 hypothetical protein OrNV_gp124 [Oryctes rhinoceros nudivirus],0.26,,,,,REFSEQ hypothetical protein; Xu
AmNV_40,,YP_002321391.1 GrBNV_gp60-like protein [Oryctes rhinoceros nudivirus],0.348,,,,,REFSEQ GrBNV_gp60-like protein; Xu
AmNV_41,,YP_008004507.1 inhibitor of apoptosis 3 [Choristoneura rosaceana entomopoxvirus 'L'],0.278,MER0773691 - family I32 unassigned peptidase inhibitors (Mucor circinelloides) [I32.UPW]#I32#{inhibitor unit: 1-80}~source S2J5S4~,0.449,Inhibitor of Apoptosis domain [PF00653.24],,
AmNV_43,,YP_009553450.1 DNAhel 2 [Tomelloso virus],0.402,,,Helicase [PF02689.17],,sp|P32270|DDA_BPT4 ATP-dependent DNA helicase dda; XhXr
AmNV_44,,YP_009553449.1 pif3 [Tomelloso virus],0.582,,,Per os infectivity factor 3 [PF05006.15],,sp|O10354|Y115_NPVOP Uncharacterized 22.1 kDa protein; Xu
AmNV_45,,YP_002321417.1 vp91 [Oryctes rhinoceros nudivirus],0.361,,,,,sp|O92446|VP91_NPVBM Capsid-associated protein Vp91; XhXs
AmNV_46,,YP_009345992.1 ACH96194.1 lef-8-like protein [Kallithea virus],0.613,,,,,sp|P41452|LEF8_NPVAC Probable DNA-directed RNA polymerase catalytic subunit; XhXr
AmNV_47,,,,,,,,REFSEQ GrBNV_gp51-like protein; Xu
AmNV_48,,YP_002321371.1 pif-1 [Oryctes rhinoceros nudivirus],0.496,,,Per os infectivity [PF05092.15],,sp|P41672|PIF1_NPVAC Per os infectivity factor 1; Xs
AmNV_49,,YP_009551730.1 putative Ac68-like protein [Esparto virus],0.574,,,,,REFSEQ Ac68-like protein; Xu
AmNV_50,,YP_009553101.1 hypothetical protein DiNV_CH01M_ORF37 [Drosophila innubila nudivirus],0.419,,,,,REFSEQ hypothetical protein; Xu
AmNV_51,,YP_002321386.1 dnaint/rec [Oryctes rhinoceros nudivirus],0.518,,,Phage integrase family [PF00589.25],,sp|P42540|VINT_BPL2 Probable integrase/recombinase; Xr
AmNV_53,,,,,,,,REFSEQ GrBNV_gp59-like protein; Xu
AmNV_55,,YP_009553466.1 GrBNV gp48-like protein [Tomelloso virus],0.301,,,,,REFSEQ GrBNV_gp48-like protein; Xu
AmNV_56,,YP_009345943.1 ACH96243.1 Ac92-like protein [Kallithea virus],0.427,,,,,sp|P0DOL5|E10_VAR67 Probable FAD-linked sulfhydryl oxidase E10; XhXs
