Position in concatenate,Gene,Oryctes rhinoceros nudivirus,Kallithea virus,Gryllus bimaculatus nudivirus,Heliothis zea nudivirus,Tipula oleracea nudivirus,Penaeus monodon nudivirus,Homarus gammarus nudivirus,Drosophila innubila nudivirus,Dikerogammarus haemobaphes nudivirus,Esparto virus,Tomelloso virus,Mauternbach virus,Autographa californica nucleopolyhedrovirus,Helicoverpa zea nudivirus 2,,,,,,,,,,
1,dnapol,YP_002321312.1,YP_009345924.1,YP_001111279.1,AAM45757.1,YP_009116659.1,YP_009051843.1,QBB28606.1,ATZ81546.1,QLI62362.1,AUQ43937.1,ATY70177.1,AYP97892.1,NP_054095.1,YP_004956766.1,,,,,,,,,,
2,dnahel,YP_002321345.1,YP_009345976.1,YP_001111355.1,AAN04398.1,YP_009116765.1,YP_009051932.1,QBB28689.1,ATZ81493.1,QLI62456.1,AUQ43938.1 ,ATY70176.1,AYP97891.1,NP_054125.1,YP_004956786.1,,,,,,,,,,
3,integrase,YP_002321386.1,YP_009346000.1,YP_001111324.1,AAN04436.1,YP_009116690.1,YP_009051893.1,QBB28647.1,ATZ81520.1,QLI62415.1,AUQ43971.1,ATY70206.1,AYP97929.1,Absent,YP_004956756.1,,,,,,,,,,
4,p47,YP_002321331.1,YP_009345961.1,YP_001111336.1,AAN04369.1,YP_009116762.1,YP_009051852.1,QBB28613.1,ATZ81585.1,QLI62368.1,AUQ43987.1,ATY70215.1,AYP97940.1,NP_054069.1, YP_004956811.1,,,,,,,,,,
5,lef-4,YP_002321353.1,YP_009345982.1,YP_001111363.1,AAN04392.1,YP_009116672.1 ,YP_009051929.1,QBB28686.1,ATZ81499.1,QLI62453.1,AUQ43969.1,ATY70197.1,AYP97913.1,NP_054120.1,YP_004956791.1,,,,,,,,,,
6,lef-8,YP_002321375.1,YP_009345992.1,YP_001111316.1,AAN04384.1,YP_009116735.1,YP_009051861.1,QBB28621.1 ,ATZ81513.1,QLI62376.1,AUQ43941.1,ATY70178.1,AYP97895.1,NP_054079.1,YP_004956799.1,,,,,,,,,,
7,lef-9,YP_002321407.1,YP_009345918.1,YP_001111291.1,AAN04369.1,YP_009116778.1,YP_009051896.1 ,QBB28651.1,ATZ81538.1,QLI62417.1,AUQ43966.1,ATY70205.1,AYP97919.1,NP_054092.1,YP_004956811.1,,,,,,,,,,
8,vlf-1,YP_002321341.1,YP_009345972.1,YP_001111347.1,AAN04414.1,YP_009116712.1,YP_009051894.1,QBB28685.1,ATZ81490.1,QLI62416.1,AUQ43949.1,ATY70184.1,AYP97908.1,NP_054107.1,YP_004956776.1,,,,,,,,,,
9,p74,YP_002321437.1 ,YP_009345930.1,YP_001111312.1 ,AAM45758.1,YP_009116692.1 ,YP_009051910.1,QBB28668.1,ATZ81555.1,QLI62432.1,AUQ43948.1,ATY70182.1,AYP97899.1,NP_054168.1,YP_004956854.1,,,,,,,,,,
10,pif-1,YP_002321371.1,YP_009345996.1,YP_001111319.1,AAN04349.1,YP_009116716.1,YP_009051877.1,QBB28633.1,ATZ81516.1,QLI62400.1,AUQ43964.1,ATY70191.1,AYP97914.1,NP_054149.1,YP_004956830.1,,,,,,,,,,
11,pif-2,YP_002321328.1,YP_009345958.1,YP_001111333.1,AAN04416.1,YP_009116654.1,YP_009051853.1,QBB28614.1,ATZ81582.1,QLI62369.1,AUQ43976.1,ATY70204.1,AYP97928.1,NP_054051.1,YP_004956774.1,,,,,,,,,,
12,pif-3,YP_002321418.1,YP_009345948.1,YP_001111270.1,AAN04382.1 ,YP_009116660.1,YP_009051931.1,QBB28688.1,ATZ81572.1,QLI62455.1,AUQ44009.1,ATY70238.1,AYP97962.1,NP_054145.1,YP_004956801.1,,,,,,,,,,
13,pif-4/19 kda,YP_002321344.1,YP_009345974.1,YP_001111354.1 ,AAN04397.1,YP_009116766.1,YP_009051934.1 ,QBB28690.1,ATZ81492.1,QLI62457.1,AUQ43990.1,ATY70221.1,AYP97938.1,NP_054126.1,YP_004956787.1  ,,,,,,,,,,
14,38k,YP_002321398.1,YP_009346005.1,YP_001111268.1,AAN04447.1,YP_009116710.1,YP_009051897.1,QBB28652.1,ATZ81527.1,QLI62421.1,AUQ43992.1,ATY70228.1,AYP97950.1,NP_054128.1,YP_004956856.1,,,,,,,,,,
15,vp39,YP_002321326.1,YP_009345956.1,YP_001111331.1,AAN04383.1,YP_009116734.1,YP_009051860.1,QBB28620.1,ATZ81580.1,QLI62375.1,AUQ44003.1,ATY70230.1,AYP97953.1,NP_054119.1,YP_004956800.1,,,,,,,,,,
16,vp91,YP_002321417.1 ,YP_009345949.1,YP_001111269.1,AAM45759.1,YP_009116663.1,YP_009051847.1,QBB28610.1,ATZ81573.1,QLI62365.1,AUQ43952.1,ATY70183.1,AYP97901.1,NP_054113.1,YP_004956837.1 ,,,,,,,,,,
17,ac81,YP_002321315.1 ,YP_009345921.1,YP_001111281.1,AAN04328.1,YP_009116770.1,YP_009051924.1,QBB28681.1,ATZ81543.1,QLI62442.1,AUQ44008.1,ATY70250.1,AYP97968.1,NP_054111.1,YP_004956844.1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
