,kegg_hit,viral_hit,viral_identity,peptidase_hit,peptidase_identity,pfam_hits,vogdb_hits
AmFLV_2,,YP_308925.1 ihibitor of apoptosis (iap) [Trichoplusia ni single nucleopolyhedrovirus],0.43,MER0773231 - family I32 unassigned peptidase inhibitors () [I32.UPW]#I32#{inhibitor unit: 8-83}~source T1QZL0~,0.452,Inhibitor of Apoptosis domain [PF00653.24],
AmFLV_3,,YP_009165926.1 HP APL35_gp175 [AmFV],0.276,,,,
AmFLV_7,,YP_009165919.1 HP APL35_gp168 [AmFV],0.286,,,,
AmFLV_11,,YP_009165908.1 HP APL35_gp157 [AmFV],0.404,,,Baculovirus 19 kDa protein conserved region [PF04798.15],
AmFLV_13,,YP_009165907.1 HP APL35_gp156 [AmFV],0.288,,,,
AmFLV_14,,YP_009165905.1 HP APL35_gp154 [AmFV],0.399,,,,
AmFLV_16,,YP_009165903.1 HP APL35_gp152 [AmFV],0.456,,,,
AmFLV_17,,YP_009165902.1 HP APL35_gp151 [AmFV],0.456,,,,
AmFLV_19,,YP_009165899.1 HP APL35_gp148 [AmFV],0.271,,,,
AmFLV_21,,YP_009165894.1 HP APL35_gp143 [AmFV],0.38,,,Baculoviridae AC81 [PF05820.14],
AmFLV_23,,YP_009165891.1 HP APL35_gp140 [AmFV],0.196,,,,
AmFLV_30,,YP_009165879.1 HP APL35_gp128 [AmFV],0.215,,,,
AmFLV_31,,YP_009165874.1 HP APL35_gp123 [AmFV],0.27,,,,
AmFLV_32,,YP_009165873.1 HP APL35_gp122 [AmFV],0.427,,,,
AmFLV_34,ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1],YP_009165865.1 HP APL35_gp114 [AmFV],0.504,,,"Ribonucleotide reductase, barrel domain [PF02867.18]; Ribonucleotide reductase, all-alpha domain [PF00317.24]",sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha; Xh
AmFLV_36,,YP_009165831.1 HP APL35_gp080 [AmFV],0.247,,,,
AmFLV_39,,,,,,MSV199 domain [PF10553.12],
AmFLV_41,,YP_009165827.1 HP APL35_gp076 [AmFV],0.379,,,,
AmFLV_43,,YP_009165828.1 P74 protein [AmFV],0.311,,,Baculoviridae P74 N-terminal [PF08404.13],sp|O10365|VP74_NPVOP Protein p74; Xs
AmFLV_45,,YP_009165839.1 HP APL35_gp088 [AmFV],0.417,,,Per os infectivity factor 3 [PF05006.15],sp|O10354|Y115_NPVOP Uncharacterized 22.1 kDa protein; Xu
AmFLV_49,,YP_009165849.1 HP APL35_gp098 [AmFV],0.448,,,,
AmFLV_50,,YP_009165848.1 HP APL35_gp097 [AmFV],0.227,,,,
AmFLV_51,glycine hydroxymethyltransferase [EC:2.1.2.1],,,,,Serine hydroxymethyltransferase [PF00464.22],sp|A6Q478|GLYA_NITSB Serine hydroxymethyltransferase; Xh
AmFLV_52,,YP_009165844.1 helicase 2 [AmFV],0.206,,,AAA domain [PF13245.9],
